icd_version,cause,cause_description,harmonized_category,harmonized_category_name,classification_confidence
ICD-1 (1901-1910),10.0,Small pox - vaccinated,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),100.0,Plague,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1000.0,Pericarditis,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),1010.0,Angina pectoris,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),1020.0,Fatty degeneration of heart,eye_ear,Diseases of Eye and Ear,medium
ICD-1 (1901-1910),1030.0,Hypertrophy of heart,eye_ear,Diseases of Eye and Ear,medium
ICD-1 (1901-1910),1040.0,Dilation of heart,eye_ear,Diseases of Eye and Ear,medium
ICD-1 (1901-1910),1050.0,"Syncope, heart disease (not spec.)",eye_ear,Diseases of Eye and Ear,medium
ICD-1 (1901-1910),1060.0,"Cerebral haemorrhage, cerebral embolism",circulatory,Diseases of the Circulatory System,high
ICD-1 (1901-1910),1070.0,"Apoplexy, hemiplegia",nervous_system,Diseases of the Nervous System,high
ICD-1 (1901-1910),1080.0,Aneurysm,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),1090.0,Senile gangrene,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),110.0,Relapsing fever,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1100.0,"Embolism, thrombosis (not cerebral)",circulatory,Diseases of the Circulatory System,high
ICD-1 (1901-1910),1110.0,Phlebitis,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),1120.0,Varicose veins,circulatory,Diseases of the Circulatory System,medium
ICD-1 (1901-1910),1130.0,Other diseases of blood vessels,other,Other and Unclassified,low
ICD-1 (1901-1910),1140.0,Laryngitis,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1150.0,Membranous laryngitis (not diphtheritic),respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1160.0,Croup (not spasmodic nor membranous),respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1170.0,Other diseases of larynx and trachea,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1180.0,Bronchitis,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1190.0,"Emphysema, asthma",respiratory,Diseases of the Respiratory System,high
ICD-1 (1901-1910),120.0,Influenza,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1200.0,Pleurisy,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1210.0,Fibroid disease of lung,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1220.0,Other diseases of respiratory system,respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1230.0,"Tonsillitis, quinsy",respiratory,Diseases of the Respiratory System,medium
ICD-1 (1901-1910),1240.0,"Diseases of mouth, pharynx, oesophagus (not spec.)",digestive,Diseases of the Digestive System,high
ICD-1 (1901-1910),1250.0,Gastric ulcer,digestive,Diseases of the Digestive System,high
ICD-1 (1901-1910),1260.0,"Gastritis, gastric catarrh",digestive,Diseases of the Digestive System,high
ICD-1 (1901-1910),1270.0,Other diseases of stomach (not malignant),neoplasms,Neoplasms (Cancers and Tumors),medium
ICD-1 (1901-1910),1280.0,Ulceration of intestines,digestive,Diseases of the Digestive System,high
ICD-1 (1901-1910),1290.0,Enteritis (not epidemic),infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),130.0,Whooping cough,infectious_diseases,Infectious and Parasitic Diseases,medium
ICD-1 (1901-1910),1300.0,Gastro-enteritis,infectious_diseases,Infectious and Parasitic Diseases,medium
